School,Location,Progressed to Sustained App'ship (%),Progressed to Sustained L4 or above  (%),Progressed to Top-Third Higher Education (%),Progressed to Russell Group Institution (%),Progressed to Oxford or Cambridge (%),Progressed to Sciences (avg) %,OFSTED Score % (Accounting for Time Since OFTSTED Visit),OFTSTED rating,Last OFSTED Visit,Performance Across All Indices %,Region_name
"Queen Elizabeth's School, Barnet",Barnet,1.00%,97.00%,94.00%,88.00%,24.00%,41.55%,100.00%,Outstanding,2022-05-18 00:00:00,56.91%,London
Wilson's School,Sutton,0.00%,97.00%,87.00%,81.00%,14.00%,42.30%,100.00%,Outstanding,2022-09-29 00:00:00,54.67%,London
King's College London Maths School,Lambeth,1.00%,94.00%,93.00%,91.00%,25.00%,49.35%,20.00%,Outstanding,2017-04-27 00:00:00,54.23%,London
Exeter Mathematics School,Devon,3.00%,93.00%,77.00%,66.00%,18.00%,57.07%,20.00%,Outstanding,2017-01-26 00:00:00,53.47%,South West
The Henrietta Barnett School,Barnet,2.00%,99.00%,91.00%,93.00%,28.00%,33.20%,75.00%,Good,2022-05-05 00:00:00,51.65%,London
Altrincham Grammar School for Boys,Trafford,3.00%,93.00%,78.00%,74.00%,10.00%,36.88%,100.00%,Outstanding,2022-09-28 00:00:00,49.92%,North West
Sutton Grammar School,Sutton,3.00%,95.00%,80.00%,69.00%,8.00%,39.43%,75.00%,Good,2022-06-23 00:00:00,48.70%,London
Kendrick School,Reading,0.00%,93.00%,76.00%,72.00%,11.00%,34.63%,100.00%,Outstanding,2022-11-09 00:00:00,48.31%,South East
The Blue Coat School,Liverpool,2.00%,93.00%,82.00%,80.00%,11.00%,33.42%,75.00%,Good,2022-11-09 00:00:00,47.08%,North West
Wallington County Grammar School,Sutton,1.00%,95.00%,67.00%,57.00%,4.00%,37.28%,100.00%,Outstanding,2022-11-16 00:00:00,46.76%,London
St Michael's Catholic Grammar School,Barnet,1.00%,96.00%,84.00%,82.00%,6.00%,28.67%,100.00%,Outstanding,2022-11-10 00:00:00,46.70%,London
The Latymer School,Enfield,1.00%,97.00%,78.00%,72.00%,9.00%,34.53%,75.00%,Good,2022-03-25 00:00:00,46.51%,London
The Tiffin Girls' School,Kingston upon Thames,4.00%,98.00%,86.00%,80.00%,17.00%,35.70%,33.33%,Outstanding,2021-10-14 00:00:00,46.42%,London
St Olave's and St Saviour's Grammar School,Bromley,1.00%,94.00%,87.00%,78.00%,13.00%,40.03%,20.00%,Outstanding,2014-03-07 00:00:00,46.27%,London
Altrincham Grammar School for Girls,Trafford,2.00%,95.00%,81.00%,74.00%,3.00%,29.87%,100.00%,Outstanding,2022-10-12 00:00:00,45.88%,North West
Tiffin School,Kingston upon Thames,0.00%,93.00%,80.00%,73.00%,9.00%,32.48%,75.00%,Good,2022-05-25 00:00:00,45.33%,London
Colyton Grammar School,Devon,1.00%,92.00%,70.00%,67.00%,11.00%,30.60%,100.00%,Outstanding,2022-11-23 00:00:00,45.29%,South West
"King Edward VI Grammar School, Chelmsford",Essex,4.00%,96.00%,80.00%,75.00%,11.00%,36.98%,33.33%,Outstanding,2021-12-09 00:00:00,45.14%,East of England
Queen Mary's Grammar School,Walsall,3.00%,95.00%,52.00%,51.00%,1.00%,37.62%,100.00%,Outstanding,2023-03-29 00:00:00,44.87%,West Midlands
"Newham Collegiate Sixth Form Centre, City of London Academy",Newham,4.00%,94.00%,75.00%,72.00%,5.00%,38.75%,33.33%,Outstanding,2021-10-08 00:00:00,44.39%,London
Newstead Wood School,Bromley,2.00%,97.00%,69.00%,56.00%,10.00%,30.22%,100.00%,Outstanding,2022-02-03 00:00:00,44.29%,London
Pate's Grammar School,Gloucestershire,1.00%,98.00%,84.00%,82.00%,16.00%,32.63%,20.00%,Outstanding,2013-04-26 00:00:00,43.43%,South West
London Academy of Excellence,Newham,0.00%,97.00%,86.00%,81.00%,16.00%,30.92%,20.00%,Outstanding,2017-10-11 00:00:00,42.47%,London
Brampton Manor Academy,Newham,,99.00%,93.00%,89.00%,18.00%,27.17%,20.00%,Outstanding,2018-02-08 00:00:00,42.40%,London
Haberdashers' Adams,Telford and Wrekin,5.00%,94.00%,60.00%,56.00%,5.00%,33.33%,75.00%,Good,2022-05-10 00:00:00,42.39%,West Midlands
The Judd School,Kent,1.00%,97.00%,84.00%,71.00%,10.00%,34.15%,20.00%,Outstanding,2015-05-07 00:00:00,42.26%,South East
Woodford County High School,Redbridge,1.00%,96.00%,65.00%,58.00%,5.00%,31.93%,75.00%,Good,2022-11-23 00:00:00,42.14%,London
Sir Isaac Newton Sixth Form Free School,Norfolk,0.00%,86.00%,43.00%,38.00%,3.00%,36.93%,100.00%,Outstanding,2023-11-02 00:00:00,41.72%,East of England
Harris Westminster Sixth Form,Westminster,2.00%,94.00%,72.00%,67.00%,14.00%,34.42%,20.00%,Outstanding,2016-10-06 00:00:00,41.33%,London
Bishop Wordsworth's Church of England Grammar School,Wiltshire,1.00%,93.00%,66.00%,55.00%,5.00%,26.88%,100.00%,Outstanding,2022-11-16 00:00:00,41.23%,South West
Dr Challoner's Grammar School,Buckinghamshire,2.00%,91.00%,74.00%,69.00%,9.00%,32.95%,33.33%,Outstanding,2019-11-06 00:00:00,41.19%,South East
Aylesbury Grammar School,Buckinghamshire,2.00%,92.00%,58.00%,59.00%,6.00%,26.77%,100.00%,Outstanding,2022-11-03 00:00:00,41.03%,South East
King Edward VI Aston School,Birmingham,0.00%,90.00%,47.00%,45.00%,1.00%,33.12%,100.00%,Outstanding,2022-05-11 00:00:00,40.93%,West Midlands
Royal Latin School,Buckinghamshire,2.00%,91.00%,62.00%,54.00%,3.00%,31.22%,75.00%,Good,2022-11-16 00:00:00,40.55%,South East
King Edward VI Camp Hill School for Girls,Birmingham,0.00%,98.00%,76.00%,77.00%,10.00%,28.48%,33.33%,Outstanding,2021-11-18 00:00:00,40.47%,West Midlands
Loreto Grammar School,Trafford,2.00%,93.00%,71.00%,70.00%,2.00%,22.00%,100.00%,Outstanding,2022-09-29 00:00:00,40.42%,North West
Wembley High Technology College,Brent,1.00%,94.00%,60.00%,55.00%,1.00%,26.78%,100.00%,Outstanding,2022-10-13 00:00:00,40.27%,London
Ilford County High School,Redbridge,4.00%,94.00%,60.00%,55.00%,2.00%,38.40%,25.00%,Good,2021-09-22 00:00:00,40.20%,London
Stratford Girls' Grammar School,Warwickshire,1.00%,97.00%,66.00%,61.00%,7.00%,22.08%,100.00%,Outstanding,2022-09-28 00:00:00,40.02%,West Midlands
Upton Court Grammar School,Slough,3.00%,91.00%,42.00%,40.00%,1.00%,31.72%,100.00%,Outstanding,2022-11-30 00:00:00,39.65%,South East
Nonsuch High School for Girls,Sutton,1.00%,96.00%,75.00%,68.00%,7.00%,30.98%,25.00%,Good,2021-06-09 00:00:00,39.58%,London
London Academy of Excellence Tottenham,Haringey,1.00%,94.00%,71.00%,66.00%,7.00%,30.77%,33.33%,Outstanding,2021-11-18 00:00:00,39.47%,London
The London Oratory School,Hammersmith and Fulham,1.00%,98.00%,76.00%,69.00%,4.00%,18.18%,100.00%,Outstanding,2022-09-14 00:00:00,39.41%,London
