SCHNAME,Region,School County,School District,School Ward,Postcode
St Mary's College,North West,"Lancashire,England","Blackburn with Darwen,Lancashire,England","Roe Lee,Blackburn with Darwen,Lancashire,England",BB1 8DX
Tauheedul Islam Girls' High School,North West,"Lancashire,England","Blackburn with Darwen,Lancashire,England","Billinge & Beardwood,Blackburn with Darwen,Lancashire,England",BB2 7AD
Harrow House International College,South West,"Dorset,England","Purbeck,Dorset,England","Swanage North,Purbeck,Dorset,England",BH19 1PE
Harbour School Dorset,South West,"Dorset,England","Purbeck,Dorset,England","West Purbeck,Purbeck,Dorset,England",BH20 6NU
Bristol Free School,South West,"Bristol,England","Bristol,Bristol,England","Henbury and Brentry,Bristol,Bristol,England",BS10 6NJ
Broadlands Hall,East of England,"Essex,England","Uttlesford,Essex,England","Saffron Walden Castle,Uttlesford,Essex,England",CB9 7UA
RNIB Pears Centre for Specialist Learning,West Midlands,"Warwickshire,England","North Warwickshire,Warwickshire,England","Arley and Whitacre,North Warwickshire,Warwickshire,England",CV7 9RA
"Eden Girls' School, Waltham Forest",London,"Greater London,England","Waltham Forest,Greater London,England","Higham Hill,Waltham Forest,Greater London,England",E17 5SD
Workers' Educational Association,London,"Greater London,England","City of London,Greater London,England","Bishopsgate,City of London,Greater London,England",EC2A 4XW
Bramdean School,South West,"Devon,England","Exeter,Devon,England","St David's,Exeter,Devon,England",EX1 2QR
Spen Brook School,North West,"Lancashire,England","Blackpool,Lancashire,England","Marton East,Blackpool,Lancashire,England",FY4 5AJ
Belong School Gloucestershire,South West,"Gloucestershire,England","Gloucester,Gloucestershire,England","Tuffley,Gloucester,Gloucestershire,England",GL4 0UF
Wynstones,South West,"Gloucestershire,England","Gloucester,Gloucestershire,England","Tuffley,Gloucester,Gloucestershire,England",GL4 0UF
Millcourt School,Yorkshire and the Humber,"West Yorkshire,England","Calderdale,West Yorkshire,England","Skircoat,Calderdale,West Yorkshire,England",HX3 7PA
Guru Gobind Singh Khalsa College,London,"Greater London,England","Redbridge,Greater London,England","Chigwell Village,Redbridge,Greater London,England",IG7 6BQ
Endeavour House School,London,"Greater London,England","Redbridge,Greater London,England","Monkhams,Redbridge,Greater London,England",IG8 9QA
Wetheringsett Manor School,East of England,"Suffolk,England","Mid Suffolk,Suffolk,England","Stonham Parva,Mid Suffolk,Suffolk,England",IP14 5QX
Blenheim High School,South East,"Surrey,England","Epsom and Ewell,Surrey,England","Epsom Town,Epsom and Ewell,Surrey,England",KT19 9BH
Iveshead School,East Midlands,"Leicestershire,England","Charnwood,Leicestershire,England","Barrow and Sileby West,Charnwood,Leicestershire,England",LE12 9DB
King Edward VII Science and Sport College,East Midlands,"Leicestershire,England","West Leicestershire,Leicestershire,England","Ashby Castle,West Leicestershire,Leicestershire,England",LE67 4UW
St Andrew the Apostle Greek Orthodox School,London,"Greater London,England","Barnet,Greater London,England","Brunswick Park,Barnet,Greater London,England",N11 1NP
The Dukeries Academy,East Midlands,"Nottinghamshire,England","Newark and Sherwood,Nottinghamshire,England","Southwell,Newark and Sherwood,Nottinghamshire,England",NG22 9TD
Holton Sleaford Independent School,East Midlands,"Lincolnshire,England","North Kesteven,Lincolnshire,England","Leasingham and Rauceby,North Kesteven,Lincolnshire,England",NG34 7RJ
Northampton International Academy,East Midlands,"Northamptonshire,England","Northampton,Northamptonshire,England","Castle,Northampton,Northamptonshire,England",NN1 1AA
Riverside Meadows Academy,East of England,"Cambridgeshire,England","Huntingdonshire,Cambridgeshire,England","St Neots Eaton Socon,Huntingdonshire,Cambridgeshire,England",PE19 1EA
Barnsley College,Yorkshire and the Humber,"South Yorkshire,England","Barnsley,South Yorkshire,England","St. Helens,Barnsley,South Yorkshire,England",S70 2YW
The E-Act Burnham Park Academy,South East,"Berkshire,England","Slough,Berkshire,England","Baylis and Stoke,Slough,Berkshire,England",SL1 7LZ
Ayesha Siddiqa Girls School,London,"Greater London,England","London Borough of Hillingdon,Greater London,England","Southall Broadway,London Borough of Hillingdon,Greater London,England",UB1 1LS
