Region,Local_Authority,Ref,School_name,School_type,Gender_info,All_A_levels_students,A_level_maths_percent_all,A_level_further_maths_percent_all,A_level_biological_sciences_percent_all,A_level_chemistry_percent_all,A_level_physics_percent_all,A_level_computer_sciences_percent_all,Female A levels students,A_level_maths_percent_female,A_level_further_maths_percent_female,A_level_biological_sciences_percent_female,A_level_chemistry_percent_female,A_level_physics_percent_female,A_level_computer_sciences_percent_female,Male_A_levels_students,A_level_Maths_percent_male,A_level_further_maths_percent_male,A_level_biological_sciences_percent_male,A_level_chemistry_percent_male,A_level_physics_percent_male,A_level_computer_sciences_percent_male
East Midlands,Derby,137911,Allestree Woodlands School,Academy converter - mainstream,MIXED,96,31.3,5.2,32.3,13.5,12.5,6.3,45,20,2.2,44.4,11.1,2.2,0,51,41.2,7.8,21.6,15.7,21.6,11.8
East Midlands,Derby,148639,Chellaston Academy,Academy converter - mainstream,MIXED,133,21.1,0,31.6,24.8,12,8.3,77,14.3,0,39,26,2.6,0,56,30.4,0,21.4,23.2,25,19.6
East Midlands,Derby,133585,Derby College,General Further Education College,MIXED,332,12,0.3,19.9,9.6,6.6,6.9,195,6.2,0,20.5,5.6,3.6,1.5,137,20.4,0.7,19,15.3,10.9,14.6
East Midlands,Derby,113028,Derby Grammar School,Independent school,MIXED,27,51.9,0,37,48.1,40.7,0,9,22.2,0,11.1,11.1,33.3,0,18,66.7,0,50,66.7,44.4,0
East Midlands,Derby,113017,Derby High School,Independent school,MIXED,35,22.9,5.7,40,40,20,0,33,24.2,6.1,39.4,39.4,21.2,0,2,0,0,50,50,0,0
East Midlands,Derby,145327,Derby Moor Spencer Academy,Academy converter - mainstream,MIXED,79,21.5,0,24.1,20.3,10.1,0,47,14.9,0,14.9,10.6,6.4,0,32,31.3,0,37.5,34.4,15.6,0
East Midlands,Derby,135120,Landau Forte College,Academy sponsor led,MIXED,76,51.3,9.2,52.6,35.5,18.4,11.8,41,39,4.9,53.7,31.7,9.8,2.4,35,65.7,14.3,51.4,40,28.6,22.9
East Midlands,Derby,143934,Lees Brook Academy,Academy converter - mainstream,MIXED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Midlands,Derby,112956,Littleover Community School,Community school,MIXED,177,40.7,6.8,40.1,34.5,18.1,7.9,93,28,3.2,41.9,36.6,9.7,0,84,54.8,10.7,38.1,32.1,27.4,16.7
East Midlands,Derby,138622,"Saint Benedict, A Catholic Voluntary Academy",Academy converter - mainstream,MIXED,62,32.3,0,33.9,21,22.6,14.5,32,28.1,0,34.4,15.6,9.4,0,30,36.7,0,33.3,26.7,36.7,30
East Midlands,Derby,112951,The Bemrose School,Foundation school,MIXED,10,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0
East Midlands,Derby,147685,UTC Derby Pride Park,UTC,MIXED,5,80,0,20,20,60,0,1,100,0,100,100,0,0,4,75,0,0,0,75,0
East Midlands,Derbyshire,113003,Abbotsholme School,Independent school,MIXED,32,31.3,6.3,18.8,3.1,15.6,0,12,8.3,8.3,33.3,0,0,0,20,45,5,10,5,25,0
East Midlands,Derbyshire,112939,Aldercar High School,Community school,MIXED,25,16,0,8,12,24,0,16,12.5,0,12.5,0,12.5,0,9,22.2,0,0,33.3,44.4,0
East Midlands,Derbyshire,112968,Anthony Gell School,Voluntary controlled school,MIXED,62,21,1.6,25.8,6.5,11.3,8.1,26,3.8,0,34.6,7.7,0,0,36,33.3,2.8,19.4,5.6,19.4,13.9
East Midlands,Derbyshire,112989,Belper School and Sixth Form Centre,Foundation school,MIXED,72,25,4.2,27.8,15.3,9.7,11.1,33,24.2,3,39.4,27.3,0,0,39,25.6,5.1,17.9,5.1,17.9,20.5
East Midlands,Derbyshire,136548,Brookfield Community School,Academy converter - mainstream,MIXED,102,26.5,3.9,19.6,11.8,8.8,4.9,59,11.9,0,20.3,6.8,3.4,0,43,46.5,9.3,18.6,18.6,16.3,11.6
East Midlands,Derbyshire,112970,Buxton Community School,Voluntary controlled school,MIXED,57,21.1,3.5,22.8,14,0,0,37,16.2,2.7,21.6,5.4,0,0,20,30,5,25,30,0,0
East Midlands,Derbyshire,130638,Chesterfield College,General Further Education College,MIXED,64,6.3,0,7.8,1.6,0,0,44,2.3,0,9.1,2.3,0,0,20,15,0,5,0,0,0
East Midlands,Derbyshire,142405,David Nieper Academy,Academy sponsor led,MIXED,20,45,0,0,0,0,0,9,44.4,0,0,0,0,0,11,45.5,0,0,0,0,0
East Midlands,Derbyshire,112969,Dronfield Henry Fanshawe School,Voluntary controlled school,MIXED,135,26.7,3,36.3,28.1,13.3,4.4,75,20,1.3,37.3,21.3,2.7,0,60,35,5,35,36.7,26.7,10
East Midlands,Derbyshire,145521,Eckington School,Academy converter - mainstream,MIXED,61,21.3,6.6,26.2,9.8,6.6,0,32,9.4,6.3,31.3,15.6,0,0,29,34.5,6.9,20.7,3.4,13.8,0
East Midlands,Derbyshire,145966,Friesland School,Academy converter - mainstream,MIXED,72,25,5.6,19.4,11.1,11.1,6.9,43,16.3,0,18.6,7,2.3,0,29,37.9,13.8,20.7,17.2,24.1,17.2
East Midlands,Derbyshire,147157,Glossopdale School and Sixth Form,Academy sponsor led,MIXED,61,19.7,0,9.8,0,3.3,11.5,22,9.1,0,9.1,0,0,0,39,25.6,0,10.3,0,5.1,17.9
East Midlands,Derbyshire,137606,Heanor Gate Spencer Academy,Academy converter - mainstream,MIXED,95,17.9,2.1,16.8,11.6,11.6,13.7,57,12.3,1.8,19.3,12.3,7,3.5,38,26.3,2.6,13.2,10.5,18.4,28.9
East Midlands,Derbyshire,148299,Highfields School,Academy converter - mainstream,MIXED,93,22.6,6.5,28,19.4,9.7,3.2,58,12.1,3.4,34.5,12.1,3.4,1.7,35,40,11.4,17.1,31.4,20,5.7
East Midlands,Derbyshire,147533,Hope Valley College,Academy sponsor led,MIXED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Midlands,Derbyshire,145500,John Port Spencer Academy,Academy sponsor led,MIXED,155,23.2,2.6,21.9,11.6,5.2,7.7,80,11.3,1.3,31.3,12.5,0,1.3,75,36,4,12,10.7,10.7,14.7
East Midlands,Derbyshire,146374,Kirk Hallam Community Academy,Academy converter - mainstream,MIXED,40,25,5,20,22.5,20,17.5,16,12.5,6.3,12.5,12.5,0,0,24,33.3,4.2,25,29.2,33.3,29.2
East Midlands,Derbyshire,112996,Lady Manners School,Foundation school,MIXED,126,23,4,18.3,17.5,11.9,7.9,63,9.5,3.2,15.9,17.5,1.6,1.6,63,36.5,4.8,20.6,17.5,22.2,14.3
East Midlands,Derbyshire,113010,Mount St Mary's College,Independent school,MIXED,39,23.1,0,25.6,12.8,5.1,0,15,20,0,26.7,6.7,0,0,24,25,0,25,16.7,8.3,0
East Midlands,Derbyshire,137902,Netherthorpe School,Academy converter - mainstream,MIXED,119,26.9,1.7,25.2,6.7,11.8,9.2,64,18.8,1.6,35.9,7.8,3.1,1.6,55,36.4,1.8,12.7,5.5,21.8,18.2
East Midlands,Derbyshire,135074,OneSchool Global Uk Nottingham Campus,Independent school,MIXED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Midlands,Derbyshire,141377,Outwood Academy Newbold,Academy sponsor led,MIXED,62,17.7,6.5,19.4,4.8,12.9,8.1,30,10,0,23.3,6.7,0,0,32,25,12.5,15.6,3.1,25,15.6
East Midlands,Derbyshire,136972,Queen Elizabeth's Grammar School,Academy converter - mainstream,MIXED,111,23.4,3.6,20.7,16.2,10.8,10.8,67,16.4,3,25.4,17.9,6,4.5,44,34.1,4.5,13.6,13.6,18.2,20.5
East Midlands,Derbyshire,113009,Repton School,Independent school,MIXED,150,36,4,18.7,18,15.3,0,65,12.3,0,32.3,20,1.5,0,85,54.1,7.1,8.2,16.5,25.9,0
East Midlands,Derbyshire,138470,"St Mary's Catholic High School, A Catholic Voluntary Academy",Academy converter - mainstream,MIXED,165,35.8,4.8,31.5,29.7,13.9,3.6,97,24.7,3.1,37.1,29.9,5.2,3.1,68,51.5,7.4,23.5,29.4,26.5,4.4
East Midlands,Derbyshire,142741,Swanwick Hall School,Academy converter - mainstream,MIXED,41,34.1,0,26.8,19.5,26.8,9.8,24,25,0,37.5,12.5,12.5,0,17,47.1,0,11.8,29.4,47.1,23.5
East Midlands,Derbyshire,136505,The Ecclesbourne School,Academy converter - mainstream,MIXED,189,30.7,5.8,23.3,16.9,11.1,11.6,98,21.4,3.1,30.6,20.4,4.1,3.1,91,40.7,8.8,15.4,13.2,18.7,20.9
East Midlands,Derbyshire,136716,The Long Eaton School,Academy converter - mainstream,MIXED,42,50,0,28.6,16.7,23.8,28.6,20,40,0,40,5,10,5,22,59.1,0,18.2,27.3,36.4,50
East Midlands,Derbyshire,144069,The Pingle Academy,Academy converter - mainstream,MIXED,101,19.8,0,21.8,12.9,8.9,8.9,59,13.6,0,25.4,10.2,1.7,1.7,42,28.6,0,16.7,16.7,19,19
East Midlands,Derbyshire,141259,The Ripley Academy,Academy converter - mainstream,MIXED,62,24.2,3.2,25.8,9.7,14.5,29,32,15.6,3.1,31.3,12.5,18.8,12.5,30,33.3,3.3,20,6.7,10,46.7
East Midlands,Derbyshire,113004,Trent College,Independent school,MIXED,114,17.5,5.3,20.2,14,8.8,5.3,59,18.6,3.4,23.7,18.6,5.1,1.7,55,16.4,7.3,16.4,9.1,12.7,9.1
East Midlands,Derbyshire,146099,Tupton Hall School,Academy sponsor led,MIXED,122,14.8,4.9,19.7,6.6,4.1,4.1,74,10.8,1.4,23,8.1,1.4,0,48,20.8,10.4,14.6,4.2,8.3,10.4
East Midlands,Derbyshire,146451,Wilsthorpe School,Academy converter - mainstream,MIXED,51,35.3,7.8,17.6,13.7,11.8,0,25,12,4,16,8,4,0,26,57.7,11.5,19.2,19.2,19.2,0
East Midlands,Leicester,147837,Beauchamp City Sixth Form,Free school ? 16-19,MIXED,433,51.3,6.9,52.7,52.9,24.5,15,234,38.9,4.3,61.5,60.3,15,6,199,65.8,10.1,42.2,44.2,35.7,25.6
East Midlands,Leicester,120345,Darul Uloom Leicester,Independent school,BOYS,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
East Midlands,Leicester,146196,"English Martyrs' Catholic School, A Voluntary Academy",Academy converter - mainstream,MIXED,115,20,0,16.5,19.1,11.3,0,61,13.1,0,23,24.6,3.3,0,54,27.8,0,9.3,13,20.4,0
East Midlands,Leicester,147756,Gateway Sixth Form College,Academy 16-19 converter,MIXED,102,15.7,1,23.5,18.6,5.9,0,63,11.1,0,27,20.6,3.2,0,39,23.1,2.6,17.9,15.4,10.3,0
East Midlands,Leicester,131863,Leicester College,General Further Education College,MIXED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Midlands,Leicester,120324,Leicester High School for Girls,Independent school,GIRLS,21,33.3,9.5,61.9,66.7,9.5,0,21,33.3,9.5,61.9,66.7,9.5,0,0,0,0,0,0,0,0
East Midlands,Leicester,131945,New College Leicester,Foundation school,MIXED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Midlands,Leicester,146232,"St Paul's Catholic School, a Voluntary Academy",Academy converter - mainstream,MIXED,94,31.9,3.2,31.9,29.8,9.6,7.4,45,26.7,2.2,28.9,28.9,4.4,2.2,49,36.7,4.1,34.7,30.6,14.3,12.2
East Midlands,Leicester,120297,The City of Leicester College,Community school,MIXED,132,29.5,3,19.7,18.2,7.6,11.4,62,21,0,21,21,3.2,3.2,70,37.1,5.7,18.6,15.7,11.4,18.6
East Midlands,Leicester,130756,WQE and Regent College Group,Sixth Form College,MIXED,1341,17.7,1.2,18.9,12.9,6.3,6,794,12.2,1.1,21.4,13.5,2.5,2.1,547,25.8,1.3,15.2,12.1,11.7,11.7
East Midlands,Leicestershire,148549,Ashby School,Academy converter - mainstream,MIXED,292,24.7,3.4,21.6,22.6,12.7,6.5,157,15.3,3.8,27.4,21.7,7,0.6,135,35.6,3,14.8,23.7,19.3,13.3
East Midlands,Leicestershire,139624,Beauchamp College,Academy converter - mainstream,MIXED,350,39.7,4.3,34.9,34.9,17.4,8.9,180,27.8,1.7,38.3,34.4,7.2,4.4,170,52.4,7.1,31.2,35.3,28.2,13.5
East Midlands,Leicestershire,137969,Bosworth Academy,Academy converter - mainstream,MIXED,194,36.6,9.8,24.7,31.4,17.5,8.2,98,27.6,3.1,30.6,33.7,4.1,1,96,45.8,16.7,18.8,29.2,31.3,15.6
East Midlands,Leicestershire,120341,Brooke House College,Independent school,MIXED,27,55.6,7.4,0,11.1,0,11.1,5,80,20,0,20,0,0,22,50,4.5,0,9.1,0,13.6
East Midlands,Leicestershire,138323,Brookvale Groby Learning Campus,Academy converter - mainstream,MIXED,107,32.7,3.7,27.1,19.6,11.2,11.2,51,29.4,0,31.4,27.5,2,3.9,56,35.7,7.1,23.2,12.5,19.6,17.9
East Midlands,Leicestershire,141874,Charnwood College,Academy sponsor led,MIXED,26,19.2,0,23.1,15.4,19.2,0,12,16.7,0,50,25,25,0,14,21.4,0,0,7.1,14.3,0
East Midlands,Leicestershire,147902,Countesthorpe Academy,Academy converter - mainstream,MIXED,86,29.1,5.8,22.1,10.5,11.6,8.1,48,16.7,2.1,25,14.6,6.3,0,38,44.7,10.5,18.4,5.3,18.4,18.4
East Midlands,Leicestershire,138298,De Lisle College Loughborough Leicestershire,Academy converter - mainstream,MIXED,96,29.2,5.2,27.1,17.7,12.5,6.3,60,21.7,1.7,31.7,16.7,10,0,36,41.7,11.1,19.4,19.4,16.7,16.7
East Midlands,Leicestershire,120339,Dixie Grammar School,Independent school,MIXED,34,17.6,5.9,20.6,17.6,29.4,5.9,15,0,0,26.7,20,6.7,0,19,31.6,10.5,15.8,15.8,47.4,10.5
East Midlands,Leicestershire,120274,Iveshead School,Community school,MIXED,47,31.9,17,17,4.3,23.4,0,23,13,4.3,26.1,4.3,8.7,0,24,50,29.2,8.3,4.2,37.5,0
East Midlands,Leicestershire,120334,Leicester Grammar School Trust,Independent school,MIXED,108,52.8,12,32.4,38,23.1,3.7,45,33.3,4.4,40,40,2.2,0,63,66.7,17.5,27,36.5,38.1,6.3
East Midlands,Leicestershire,120317,Loughborough Amherst School,Independent school,MIXED,32,21.9,0,37.5,21.9,0,0,23,17.4,0,34.8,17.4,0,0,9,33.3,0,44.4,33.3,0,0
East Midlands,Leicestershire,130748,Loughborough College,General Further Education College,MIXED,416,25,1.9,13,10.8,13.5,8.9,217,13.8,0.9,14.7,8.8,5.5,3.2,199,37.2,3,11.1,13.1,22.1,15.1
East Midlands,Leicestershire,120332,Loughborough Grammar School,Independent school,BOYS,112,49.1,10.7,25,34.8,27.7,9.8,0,0,0,0,0,0,0,112,49.1,10.7,25,34.8,27.7,9.8
East Midlands,Leicestershire,120333,Loughborough High School,Independent school,GIRLS,69,24.6,2.9,53.6,52.2,14.5,1.4,69,24.6,2.9,53.6,52.2,14.5,1.4,0,0,0,0,0,0,0
East Midlands,Leicestershire,138150,Lutterworth College,Academy converter - mainstream,MIXED,157,19.1,5.1,14.6,7.6,10.8,7.6,90,7.8,3.3,14.4,8.9,2.2,1.1,67,34.3,7.5,14.9,6,22.4,16.4
